StationName,StationID,Lon,Lat
AK_Fairbanks_11_NE,26494,-147.51,64.97
AK_Sitka_1_NE,25379,-135.33,57.06
AK_St._Paul_4_NE,25711,-170.21,57.16
AK_Utqia?vik_formerly_Barrow_4_ENE,27516,-156.61,71.32
AL_Gadsden_19_N,63857,-85.96,34.29
AL_Selma_13_WNW,63858,-87.24,32.46
AZ_Elgin_5_S,53132,-110.51,31.59
AZ_Tucson_11_W,53131,-111.17,32.24
CA_Merced_23_WSW,93243,-120.88,37.24
CA_Redding_12_WNW,4222,-122.61,40.65
CA_Stovepipe_Wells_1_SW,53139,-117.14,36.6
CO_Boulder_14_W,94075,-105.54,40.04
CO_Cortez_8_SE,3061,-108.5,37.26
CO_Dinosaur_2_E,94082,-108.97,40.24
CO_La_Junta_17_WSW,3063,-103.82,37.86
CO_Montrose_11_ENE,3060,-107.69,38.54
CO_Nunn_7_NNE,94074,-104.76,40.81
FL_Titusville_7_E,92821,-80.69,28.62
GA_Brunswick_23_S,63856,-81.46,30.81
GA_Newton_11_SW,63829,-84.45,31.19
GA_Newton_8_W,63828,-84.47,31.31
GA_Watkinsville_5_SSE,63850,-83.39,33.78
HI_Hilo_5_S,21515,-155.08,19.65
HI_Mauna_Loa_5_NNE,21514,-155.58,19.54
IA_Des_Moines_17_E,54902,-93.29,41.56
ID_Arco_17_SW,4126,-113.56,43.46
ID_Murphy_10_W,4127,-116.75,43.2
IL_Champaign_9_SW,54808,-88.37,40.05
IL_Shabbona_5_NNE,54811,-88.85,41.84
KS_Manhattan_6_SSW,53974,-96.61,39.1
KS_Oakley_19_SSW,3067,-100.96,38.87
KY_Bowling_Green_21_NNE,63849,-86.23,37.25
KY_Versailles_3_NNW,63838,-84.75,38.09
LA_Lafayette_13_SE,53960,-91.87,30.09
LA_Monroe_26_N,53961,-92.12,32.88
ME_Limestone_4_NNW,94645,-67.88,46.96
ME_Old_Town_2_W,94644,-68.7,44.93
MI_Chatham_1_SE,54810,-86.92,46.33
MN_Goodridge_12_NNW,4994,-95.87,48.31
MO_Chillicothe_22_ENE,13301,-93.15,39.87
MS_Newton_5_ENE,63831,-89.07,32.34
MT_St._Mary_1_SSW,4130,-113.43,48.74
MT_Wolf_Point_29_ENE,94060,-105.1,48.31
MT_Wolf_Point_34_NE,94059,-105.21,48.49
NC_Asheville_13_S,53878,-82.56,35.42
NC_Asheville_8_SSW,53877,-82.61,35.49
ND_Medora_7_E,94080,-103.38,46.89
NE_Harrison_20_SSE,94077,-103.74,42.42
NE_Lincoln_11_SW,94996,-96.85,40.7
NE_Lincoln_8_ENE,94995,-96.57,40.85
NE_Whitman_5_ENE,94079,-101.44,42.07
NH_Durham_2_N,54794,-70.93,43.17
NH_Durham_2_SSW,54795,-70.95,43.11
NM_Los_Alamos_13_W,3062,-106.52,35.86
NM_Socorro_20_N,3048,-106.89,34.36
NV_Baker_5_W,53138,-114.21,39.01
NV_Mercury_3_SSW,53136,-116.02,36.62
NY_Ithaca_13_E,64758,-76.25,42.44
NY_Millbrook_3_W,64756,-73.74,41.79
OK_Goodwell_2_E,3055,-101.59,36.6
OK_Stillwater_2_W,53926,-97.09,36.12
OK_Stillwater_5_WNW,53927,-97.11,36.13
ON_Egbert_1_W,64757,-79.78,44.23
OR_John_Day_35_WNW,4125,-119.65,44.56
OR_Riley_10_WSW,4128,-119.69,43.47
RI_Kingston_1_NW,54796,-71.54,41.49
RI_Kingston_1_W,54797,-71.54,41.48
SC_Blackville_3_W,63826,-81.33,33.36
SC_McClellanville_7_NE,3728,-79.36,33.15
SD_Buffalo_13_ESE,94081,-103.3,45.52
SD_Sioux_Falls_14_NNE,4990,-96.62,43.73
TN_Crossville_7_NW,63855,-85.13,36.01
TX_Edinburg_17_NNE,12987,-98.06,26.53
TX_Monahans_6_ENE,3047,-102.81,31.62
TX_Muleshoe_19_S,3054,-102.77,33.96
TX_Palestine_6_WNW,53968,-95.72,31.78
VA_Cape_Charles_5_ENE,3739,-75.93,37.29
WA_Darrington_21_NNE,4223,-121.45,48.54
WI_Necedah_5_WNW,54903,-90.17,44.06
WV_Elkins_21_ENE,3733,-79.47,39.01
WY_Lander_11_SSE,94078,-108.67,42.68
WY_Moose_1_NNE,4131,-110.71,43.66
AL_Courtland_2_WSW,63868,-87.35,34.66
AL_Cullman_3_ENE,63867,-86.8,34.2
AL_Guntersville_2_SW,63866,-86.32,34.33
AL_Valley_Head_1_SSW,63862,-85.62,34.57
PA_Avondale_2_N,3761,-75.79,39.86
AL_Fairhope_3_NE,63869,-87.88,30.55
AL_Russellville_4_SSE,63895,-87.71,34.45
AL_Scottsboro_2_NE,63896,-86,34.69
OR_Corvallis_10_SSW,4236,-123.33,44.42
WA_Quinault_4_NE,4237,-123.81,47.51
ND_Northgate_5_ESE,94084,-102.17,48.97
SD_Pierre_24_S,94085,-100.35,44.02
OH_Coshocton_8_NNE,54851,-81.78,40.37
AR_Batesville_8_WNW,23904,-91.78,35.82
TX_Bronte_11_NNE,3072,-100.25,32.04
FL_Everglades_City_5_NE,92826,-81.32,25.9
NM_Las_Cruces_20_N,3074,-106.74,32.61
TX_Panther_Junction_2_N,22016,-103.21,29.35
AL_Clanton_2_NE,63891,-86.61,32.85
AL_Gainesville_2_NE,63892,-88.14,32.84
AL_Greensboro_2_WNW,63893,-87.62,32.72
AL_Selma_6_SSE,63897,-86.98,32.33
NC_Durham_11_W,3758,-79.09,35.97
VA_Charlottesville_2_SSE,3759,-78.47,38
AL_Muscle_Shoals_2_N,63894,-87.64,34.77
MO_Joplin_24_N,23908,-94.58,37.43
MO_Salem_10_W,23909,-91.72,37.63
MN_Sandstone_6_W,54932,-92.99,46.11
SD_Aberdeen_35_WNW,54933,-99.13,45.71
MT_Dillon_18_WSW,4137,-113.01,45.16
WA_Spokane_17_SSW,4136,-117.53,47.42
UT_Brigham_City_28_WNW,4138,-112.54,41.62
WY_Sundance_8_NNW,94088,-104.44,44.52
CA_Yosemite_Village_12_W,53150,-119.82,37.76
MI_Gaylord_9_SSW,54854,-84.72,44.91
IN_Bedford_5_WNW,63898,-86.57,38.89
UT_Torrey_7_E,53149,-111.29,38.3
TX_Port_Aransas_32_NNE,23906,-96.82,28.3
FL_Sebring_23_SSE,92827,-81.37,27.15
AL_Brewton_3_NNE,63899,-87.05,31.14
AL_Thomasville_2_S,23802,-87.74,31.88
AL_Troy_2_W,23801,-86,31.79
MS_Holly_Springs_4_N,23803,-89.43,34.82
TX_Austin_33_NW,23907,-98.08,30.62
AZ_Yuma_27_ENE,53154,-114.19,32.84
CA_Fallbrook_5_NE,53151,-117.19,33.44
AZ_Williams_35_NNW,53155,-112.34,35.76
CA_Bodega_6_WSW,93245,-123.07,38.32
NV_Denio_52_WSW,4139,-119.64,41.85
MT_Lewistown_42_WSW,4140,-110.29,46.88
ND_Jamestown_38_WSW,54937,-99.48,46.77
CA_Santa_Barbara_11_W,53152,-119.88,34.41
OR_Coos_Bay_8_SW,4141,-124.32,43.27
AL_Highland_Home_2_S,73802,-86.31,31.92
AL_Talladega_10_NNE,73803,-86.06,33.57
AL_Northport_2_S,73801,-87.59,33.21
CO_Akron_A_4_E,94092,-103.14,40.16
CO_Eads_16_ENE,3078,-102.5,38.54
CO_Grand_Junction_9_W,3076,-108.74,39.1
CO_Saguache_2_WNW,3079,-106.17,38.1
CO_Stratton_24_N,3083,-102.62,39.66
AZ_Holbrook_17_ESE,3077,-109.89,34.82
NM_Carrizozo_1_W,3082,-105.89,33.65
NM_Reserve_1_W,3080,-108.78,33.71
UT_Tropic_9_SE,3081,-111.98,37.52
AK_Sand_Point_1_ENE,25630,-160.47,55.35
AK_Port_Alsworth_1_SW,26562,-154.32,60.2
CO_Rocky_Ford_1_ESE,3089,-103.69,38.04
CO_Center_A_4_SSW,3084,-106.14,37.71
NM_Taos_27_NW,3090,-105.97,36.65
AZ_Cameron_25_SSE,53159,-111.34,35.5
AZ_Heber_3_SE,53170,-110.57,34.4
NM_Clovis_7_N,53008,-103.17,34.51
AZ_Bowie_23_SSE,3085,-109.39,32.01
AZ_Coolidge_5_W,53162,-111.53,32.99
AZ_Camp_Verde_3_N,53160,-111.84,34.61
AZ_Phoenix_7_S,53156,-112.08,33.35
CO_Kim_9_WSW,3091,-103.5,37.22
CO_Springfield_6_WSW,3086,-102.72,37.38
NM_Clayton_3_ENE,3094,-103.12,36.47
NM_Mills_6_WSW,3095,-104.36,36.06
NM_Raton_26_ESE,3092,-103.98,36.78
NM_Santa_Fe_20_WNW,3087,-106.32,35.82
CO_Colorado_Springs_23_NW,53007,-105.09,39.09
CO_Genoa_35_N,3093,-103.52,39.79
CO_Woodland_Park_14_WSW,3088,-105.26,38.91
NM_Artesia_2_WNW,53002,-104.46,32.85
NM_Mountainair_2_WSW,3097,-106.27,34.52
NM_Socorro_17_WSW,53163,-107.19,33.98
CO_Buena_Vista_2_SSE,53005,-106.12,38.81
CO_Craig_30_N,3099,-107.61,40.95
CO_Eagle_13_SSE,3098,-106.73,39.48
CO_Meeker_15_W,94094,-108.2,40.08
CO_Rifle_23_NW,3096,-108.13,39.76
UT_Midway_3_NE,53167,-111.41,40.55
UT_Provo_22_E,4143,-111.24,40.28
AK_Kenai_29_ENE,26563,-150.45,60.72
AK_Red_Dog_Mine_3_SSW,26655,-162.92,68.03
AZ_Kayenta_16_WSW,53169,-110.54,36.68
AZ_Page_9_WSW,53164,-111.6,36.86
AZ_Tsaile_1_SSW,53011,-109.22,36.29
NM_Aztec_43_E,53017,-107.22,36.75
NM_Grants_2_S,53003,-107.83,35.12
NM_Vaughn_36_SSE,53016,-104.93,34.14
UT_Blanding_26_SSW,53012,-109.61,37.27
UT_Bluff_32_NW,53004,-109.99,37.6
UT_Cedar_City_18_SSE,53013,-113.22,37.46
UT_Delta_4_NE,53165,-112.51,39.39
UT_Mexican_Hat_10_NW,53014,-109.99,37.25
UT_Milford_42_WNW,53171,-113.75,38.59
UT_Monticello_24_NW,53010,-109.62,38.14
UT_St._George_15_NE,53166,-113.38,37.22
AZ_Ajo_29_S,53168,-112.8,31.95
AZ_Amado_23_W,53006,-111.45,31.69
AZ_Gila_Bend_3_ENE,53176,-112.67,32.96
AZ_Lake_Havasu_City_19_SE,53172,-114.13,34.25
NM_Hagerman_10_ESE,53015,-104.16,33.09
NM_Nageezi_18_SSW,53173,-107.9,36.03
NM_Ramah_9_SE,53009,-108.36,35.05
SA_Tiksi_4_SSE,37201,128.92,71.59
AZ_Safford_5_NNE,53181,-109.63,32.86
AZ_Whiteriver_A_1_SW,53019,-109.98,33.82
NM_Elida_14_SW,53022,-103.84,33.81
NM_Las_Vegas_6_NE,53024,-105.14,35.66
OK_Goodwell_2_SE,53182,-101.61,36.57
AK_Tok_70_SE,96404,-141.21,62.74
AZ_Fredonia_7_SSE,53183,-112.45,36.86
AZ_Kingman_8_NE,53180,-113.93,35.26
AZ_Meadview_7_N,53184,-114.04,36.09
NM_Hachita_7_ESE,53025,-108.2,31.89
UT_Beaver_15_E,53185,-112.38,38.27
UT_Grantsville_12_WNW,94097,-112.68,40.64
UT_Manila_18_ESE,94098,-109.39,40.92
UT_Price_3_E,53174,-110.75,39.61
UT_Spanish_Valley_25_SW,53023,-109.85,38.31
UT_Vernal_23_SSE,94096,-109.64,40.13
NM_Pinon_8_SSE,53026,-105.34,32.51
AK_Gustavus_2_NE,25380,-135.69,58.43
AK_Metlakatla_6_S,25381,-131.59,55.05
AK_King_Salmon_42_SE,25522,-155.92,58.21
AK_Glennallen_64_N,56401,-145.5,63.03
AK_Ivotuk_1_NNE,26564,-155.75,68.49
AK_Deadhorse_3_S,26565,-148.46,70.16
AK_Ruby_44_ESE,96406,-154.13,64.5
AK_Denali_27_N,96408,-150.87,63.45
AK_Selawik_28_E,96407,-159,66.56
AK_Yakutat_3_SSE,25382,-139.68,59.51
OH_Wooster_3_SSE,54856,-81.91,40.76
AK_Cordova_14_ESE,96405,-145.35,60.47
AK_Toolik_Lake_5_ENE,96409,-149.4,68.65
AK_Bethel_87_WNW,26656,-164.08,61.35
AK_Aleknagik_1_NNE,23583,-158.61,59.28
