date,AK_Fairbanks_11_NE,AK_Sitka_1_NE,AK_St._Paul_4_NE,AK_Utqia?vik_formerly_Barrow_4_ENE,AL_Gadsden_19_N,AL_Selma_13_WNW,AZ_Elgin_5_S,AZ_Tucson_11_W,CA_Merced_23_WSW,CA_Redding_12_WNW,CA_Stovepipe_Wells_1_SW,CO_Boulder_14_W,CO_Cortez_8_SE,CO_Dinosaur_2_E,CO_La_Junta_17_WSW,CO_Montrose_11_ENE,CO_Nunn_7_NNE,FL_Titusville_7_E,GA_Brunswick_23_S,GA_Newton_11_SW,GA_Newton_8_W,GA_Watkinsville_5_SSE,HI_Hilo_5_S,HI_Mauna_Loa_5_NNE,IA_Des_Moines_17_E,ID_Arco_17_SW,ID_Murphy_10_W,IL_Champaign_9_SW,IL_Shabbona_5_NNE,KS_Manhattan_6_SSW,KS_Oakley_19_SSW,KY_Bowling_Green_21_NNE,KY_Versailles_3_NNW,LA_Lafayette_13_SE,LA_Monroe_26_N,ME_Limestone_4_NNW,ME_Old_Town_2_W,MI_Chatham_1_SE,MN_Goodridge_12_NNW,MO_Chillicothe_22_ENE,MS_Newton_5_ENE,MT_St._Mary_1_SSW,MT_Wolf_Point_29_ENE,MT_Wolf_Point_34_NE,NC_Asheville_13_S,NC_Asheville_8_SSW,ND_Medora_7_E,NE_Harrison_20_SSE,NE_Lincoln_11_SW,NE_Lincoln_8_ENE,NE_Whitman_5_ENE,NH_Durham_2_N,NH_Durham_2_SSW,NM_Los_Alamos_13_W,NM_Socorro_20_N,NV_Baker_5_W,NV_Mercury_3_SSW,NY_Ithaca_13_E,NY_Millbrook_3_W,OK_Goodwell_2_E,OK_Stillwater_2_W,OK_Stillwater_5_WNW,ON_Egbert_1_W,OR_John_Day_35_WNW,OR_Riley_10_WSW,RI_Kingston_1_NW,RI_Kingston_1_W,SC_Blackville_3_W,SC_McClellanville_7_NE,SD_Buffalo_13_ESE,SD_Sioux_Falls_14_NNE,TN_Crossville_7_NW,TX_Edinburg_17_NNE,TX_Monahans_6_ENE,TX_Muleshoe_19_S,TX_Palestine_6_WNW,VA_Cape_Charles_5_ENE,WA_Darrington_21_NNE,WI_Necedah_5_WNW,WV_Elkins_21_ENE,WY_Lander_11_SSE,WY_Moose_1_NNE,AL_Courtland_2_WSW,AL_Cullman_3_ENE,AL_Guntersville_2_SW,AL_Valley_Head_1_SSW,PA_Avondale_2_N,AL_Fairhope_3_NE,AL_Russellville_4_SSE,AL_Scottsboro_2_NE,OR_Corvallis_10_SSW,WA_Quinault_4_NE,ND_Northgate_5_ESE,SD_Pierre_24_S,OH_Coshocton_8_NNE,AR_Batesville_8_WNW,TX_Bronte_11_NNE,FL_Everglades_City_5_NE,NM_Las_Cruces_20_N,TX_Panther_Junction_2_N,AL_Clanton_2_NE,AL_Gainesville_2_NE,AL_Greensboro_2_WNW,AL_Selma_6_SSE,NC_Durham_11_W,VA_Charlottesville_2_SSE,AL_Muscle_Shoals_2_N,MO_Joplin_24_N,MO_Salem_10_W,MN_Sandstone_6_W,SD_Aberdeen_35_WNW,MT_Dillon_18_WSW,WA_Spokane_17_SSW,UT_Brigham_City_28_WNW,WY_Sundance_8_NNW,CA_Yosemite_Village_12_W,MI_Gaylord_9_SSW,IN_Bedford_5_WNW,UT_Torrey_7_E,TX_Port_Aransas_32_NNE,FL_Sebring_23_SSE,AL_Brewton_3_NNE,AL_Thomasville_2_S,AL_Troy_2_W,MS_Holly_Springs_4_N,TX_Austin_33_NW,AZ_Yuma_27_ENE,CA_Fallbrook_5_NE,AZ_Williams_35_NNW,CA_Bodega_6_WSW,NV_Denio_52_WSW,MT_Lewistown_42_WSW,ND_Jamestown_38_WSW,CA_Santa_Barbara_11_W,OR_Coos_Bay_8_SW,AL_Highland_Home_2_S,AL_Talladega_10_NNE,AL_Northport_2_S,CO_Akron_A_4_E,CO_Eads_16_ENE,CO_Grand_Junction_9_W,CO_Saguache_2_WNW,CO_Stratton_24_N,AZ_Holbrook_17_ESE,NM_Carrizozo_1_W,NM_Reserve_1_W,UT_Tropic_9_SE,AK_Sand_Point_1_ENE,AK_Port_Alsworth_1_SW,CO_Rocky_Ford_1_ESE,CO_Center_A_4_SSW,NM_Taos_27_NW,AZ_Cameron_25_SSE,AZ_Heber_3_SE,NM_Clovis_7_N,AZ_Bowie_23_SSE,AZ_Coolidge_5_W,AZ_Camp_Verde_3_N,AZ_Phoenix_7_S,CO_Kim_9_WSW,CO_Springfield_6_WSW,NM_Clayton_3_ENE,NM_Mills_6_WSW,NM_Raton_26_ESE,NM_Santa_Fe_20_WNW,CO_Colorado_Springs_23_NW,CO_Genoa_35_N,CO_Woodland_Park_14_WSW,NM_Artesia_2_WNW,NM_Mountainair_2_WSW,NM_Socorro_17_WSW,CO_Buena_Vista_2_SSE,CO_Craig_30_N,CO_Eagle_13_SSE,CO_Meeker_15_W,CO_Rifle_23_NW,UT_Midway_3_NE,UT_Provo_22_E,AK_Kenai_29_ENE,AK_Red_Dog_Mine_3_SSW,AZ_Kayenta_16_WSW,AZ_Page_9_WSW,AZ_Tsaile_1_SSW,NM_Aztec_43_E,NM_Grants_2_S,NM_Vaughn_36_SSE,UT_Blanding_26_SSW,UT_Bluff_32_NW,UT_Cedar_City_18_SSE,UT_Delta_4_NE,UT_Mexican_Hat_10_NW,UT_Milford_42_WNW,UT_Monticello_24_NW,UT_St._George_15_NE,AZ_Ajo_29_S,AZ_Amado_23_W,AZ_Gila_Bend_3_ENE,AZ_Lake_Havasu_City_19_SE,NM_Hagerman_10_ESE,NM_Nageezi_18_SSW,NM_Ramah_9_SE,SA_Tiksi_4_SSE,AZ_Safford_5_NNE,AZ_Whiteriver_A_1_SW,NM_Elida_14_SW,NM_Las_Vegas_6_NE,OK_Goodwell_2_SE,AK_Tok_70_SE,AZ_Fredonia_7_SSE,AZ_Kingman_8_NE,AZ_Meadview_7_N,NM_Hachita_7_ESE,UT_Beaver_15_E,UT_Grantsville_12_WNW,UT_Manila_18_ESE,UT_Price_3_E,UT_Spanish_Valley_25_SW,UT_Vernal_23_SSE,NM_Pinon_8_SSE,AK_Gustavus_2_NE,AK_Metlakatla_6_S,AK_King_Salmon_42_SE,AK_Glennallen_64_N,AK_Ivotuk_1_NNE,AK_Deadhorse_3_S,AK_Ruby_44_ESE,AK_Denali_27_N,AK_Selawik_28_E,AK_Yakutat_3_SSE,OH_Wooster_3_SSE,AK_Cordova_14_ESE,AK_Toolik_Lake_5_ENE,AK_Bethel_87_WNW,AK_Aleknagik_1_NNE
01-01-2006 00:00,263.05,275.55,270.35,255.35,280.45,286.75,282.95,287.45,280.55,,283.25,269.25,271.55,274.35,278.25,270.65,277.75,291.95,290.25,288.95,288.35,282.15,293.75,281.55,275.85,270.75,277.15,277.15,274.35,282.95,276.55,283.95,279.25,293.35,290.25,257.85,263.95,272.35,267.15,280.65,288.85,273.85,266.75,269.05,278.95,278.65,269.15,275.95,279.05,279.95,275.45,267.35,267.25,271.85,282.25,271.65,277.95,272.35,271.95,281.65,290.45,290.35,268.95,279.05,274.05,272.25,272.15,283.55,284.25,269.25,270.35,278.15,296.55,290.25,285.15,294.45,278.25,278.15,272.25,274.55,276.25,267.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2006 00:00,259.65,274.85,270.35,255.85,290.05,293.35,287.35,291.05,283.55,,288.35,271.65,274.95,275.95,277.95,271.95,276.05,295.25,293.55,292.75,292.75,286.95,295.85,280.65,275.15,270.85,275.05,283.55,277.45,276.35,277.95,287.85,287.25,292.25,286.85,259.15,267.25,272.75,269.05,280.45,291.25,273.85,267.65,269.85,280.35,281.55,268.25,272.75,272.55,272.55,276.45,272.25,271.55,275.85,279.65,275.85,283.85,273.55,274.15,280.25,279.95,279.05,271.95,278.85,268.65,275.35,274.95,287.05,288.35,267.75,271.35,284.75,295.45,286.35,280.15,288.65,281.75,278.25,274.85,276.95,274.05,266.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2006 00:00,259.55,274.55,267.75,248.95,279.15,283.05,282.45,287.95,281.25,,285.75,270.15,274.25,275.75,280.75,272.55,277.45,293.25,288.85,287.25,286.35,282.95,294.95,278.85,274.85,269.05,276.05,278.05,276.25,279.45,282.95,279.35,280.65,288.35,283.65,255.75,263.55,271.55,272.05,275.95,284.35,273.35,268.45,271.95,279.35,277.95,271.85,276.35,276.45,277.35,279.55,271.05,270.85,272.75,285.35,275.35,279.55,273.75,272.75,287.45,284.65,283.65,273.05,276.25,268.65,273.65,273.75,285.75,287.35,271.55,272.15,279.35,294.15,290.05,285.15,288.15,280.35,276.15,274.45,277.05,275.25,270.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-2006 00:00,258.25,278.05,265.25,245.75,281.15,284.45,280.75,285.05,282.65,,287.15,266.05,273.15,274.55,274.45,270.05,273.95,288.45,286.85,285.15,284.45,282.55,293.35,278.75,276.15,267.65,275.45,276.55,275.85,279.85,276.75,284.35,283.35,287.65,286.25,252.85,262.45,273.75,270.25,278.95,285.75,273.55,269.35,271.75,279.85,280.05,272.25,270.95,279.95,279.85,274.95,267.75,267.05,269.75,278.65,275.15,281.85,272.55,269.75,277.85,281.95,280.85,273.95,276.95,269.45,272.65,272.65,284.55,283.65,271.55,270.95,281.65,296.05,284.85,282.45,289.55,278.05,277.95,,279.25,273.25,263.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-01-2006 00:00,256.75,278.05,265.95,250.35,279.55,282.15,282.05,289.25,282.35,,285.45,268.75,274.95,271.95,272.35,269.35,275.05,288.95,289.55,288.45,287.25,283.85,291.75,279.05,271.85,265.15,274.75,273.75,273.05,275.85,275.85,276.65,276.65,286.95,281.35,258.15,266.95,270.45,268.35,273.15,280.95,277.95,267.85,271.25,277.75,276.75,270.85,271.55,274.65,273.15,274.05,270.45,271.15,269.85,275.95,274.45,284.15,274.15,275.85,276.95,281.05,280.45,271.55,282.35,271.55,274.15,273.85,286.85,287.65,271.55,266.95,275.15,289.25,282.45,277.15,284.35,280.85,279.85,,274.95,274.65,258.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2006 00:00,258.95,276.35,269.35,247.85,273.05,274.25,283.05,292.85,281.45,282.65,285.95,274.85,278.35,273.85,281.15,273.15,283.65,285.25,282.15,278.55,277.45,276.65,292.75,278.25,271.35,267.75,274.25,271.75,271.25,274.45,278.45,273.45,273.15,279.85,274.75,267.35,270.85,267.05,269.45,272.15,273.05,277.55,274.35,276.05,274.35,273.65,273.85,277.45,274.05,273.15,278.25,270.75,270.65,273.55,276.15,280.25,283.85,268.25,270.95,281.45,276.55,275.45,264.35,279.25,272.45,273.25,273.15,280.45,281.05,272.65,268.65,271.15,287.05,282.05,281.25,281.85,277.05,280.45,,267.15,278.25,256.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-01-2006 00:00,261.55,277.25,269.05,244.05,274.75,275.95,283.85,292.65,284.35,278.95,285.75,273.15,278.35,273.85,285.65,273.25,282.95,281.05,279.15,277.35,277.05,276.45,293.05,279.75,276.45,272.05,276.35,274.75,273.95,283.45,283.15,276.65,275.05,281.35,279.95,260.65,262.85,270.45,270.55,277.65,276.45,273.95,272.85,274.45,273.65,273.55,274.15,280.15,279.35,278.05,284.25,267.05,266.95,272.95,277.05,280.35,281.65,265.15,267.05,287.35,283.35,282.65,266.45,278.75,273.65,269.95,269.65,276.45,277.25,273.25,271.65,272.95,287.85,286.05,282.25,287.65,273.85,278.85,,267.65,278.65,263.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-01-2006 00:00,263.65,277.75,267.05,245.45,281.95,283.35,283.65,287.05,281.55,,285.95,264.35,272.35,272.35,279.85,268.45,275.65,281.75,282.15,283.15,282.25,281.25,292.95,278.75,274.15,267.15,272.35,279.05,276.35,279.15,279.85,284.35,282.45,289.75,290.75,254.75,260.25,266.75,266.65,279.25,284.55,270.75,268.35,269.15,278.05,278.25,270.45,274.35,272.75,271.85,275.25,266.55,266.25,273.15,283.65,271.55,280.75,272.15,273.45,282.15,284.95,283.95,270.25,276.75,268.15,271.65,271.35,281.65,280.25,272.65,270.95,280.45,291.95,290.15,282.05,291.35,279.25,276.75,,276.45,271.85,262.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-01-2006 00:00,259.25,276.05,264.65,252.45,286.95,290.05,280.55,285.15,280.75,280.85,288.15,264.05,268.45,269.65,267.45,264.75,270.65,285.95,284.25,289.15,289.35,288.55,292.25,279.45,270.25,262.75,271.35,275.45,273.95,272.35,270.55,282.65,280.95,291.15,291.75,261.95,263.95,264.75,265.65,273.05,291.05,273.15,271.35,272.55,282.75,283.45,270.85,267.65,270.45,270.85,273.15,269.85,268.95,265.75,273.65,268.25,279.75,277.25,278.25,271.75,277.45,276.95,273.05,280.85,270.35,277.15,276.95,286.75,287.35,272.25,269.35,285.35,294.35,279.55,272.95,290.95,285.95,277.25,,279.25,268.15,258.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2006 00:00,257.05,274.65,266.75,253.55,288.75,290.35,280.25,287.55,279.95,279.85,283.95,270.15,272.55,271.15,270.65,266.75,274.35,290.25,285.85,287.45,286.85,286.45,293.75,279.35,269.25,267.65,277.55,276.45,271.55,272.75,274.35,283.85,278.85,287.25,281.05,265.85,270.05,264.35,270.15,271.25,287.65,275.25,272.75,274.65,282.15,282.45,274.35,271.25,272.35,271.85,276.75,273.05,271.75,269.15,271.75,275.55,279.05,273.85,275.25,275.15,274.55,272.75,270.45,284.25,277.45,275.45,275.25,287.95,287.05,273.35,271.05,284.15,288.05,278.85,273.95,280.65,282.45,278.85,267.25,279.15,273.65,264.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
