variable,date,best_model,rmse_vs_era5,correlation_vs_era5
Air temperature,2015-01-01,RBF linear,271.98389904090857,0.9489753577187631
Air temperature,2015-01-02,RBF linear,272.65128741721963,0.7623206128575871
Air temperature,2015-01-03,RBF linear,272.2066214813407,0.8301823440773198
Air temperature,2015-01-04,RBF linear,283.01029014024823,0.5106021454517949
Air temperature,2015-01-05,RBF linear,287.56354161422576,0.5355246391582423
Air temperature,2015-01-06,RBF linear,290.4578534066102,0.7335028830821233
Air temperature,2015-01-07,RBF linear,295.44317004126685,0.6505745171111158
Air temperature,2015-01-08,RBF linear,298.20880151548096,0.5825432191399502
Air temperature,2015-01-09,RBF linear,296.2612268162941,0.45242979768925606
Air temperature,2015-01-10,RBF linear,290.73512568414424,0.8474297051970405
Air temperature,2015-01-11,RBF linear,285.39211892193816,0.8886753474553576
Air temperature,2015-01-12,RBF linear,276.0568503091258,0.8315989616803522
Air temperature,2015-02-01,RBF linear,272.0932435070123,0.8583104454661004
Air temperature,2015-02-02,RBF linear,272.26080126046435,0.9512458157552995
Air temperature,2015-02-03,RBF linear,274.40248824905945,0.8880224554664489
Air temperature,2015-02-04,RBF linear,281.9386428197595,0.6969067472327848
Air temperature,2015-02-05,RBF linear,285.97127006096423,0.3750544091561824
Air temperature,2015-02-06,RBF linear,287.1632449742179,0.7065991171324316
Air temperature,2015-02-07,RBF linear,289.0213708034888,0.7236146135111134
Air temperature,2015-02-08,RBF linear,289.09569763822174,0.7283141617636678
Air temperature,2015-02-09,RBF linear,289.7184204950336,0.4813956577587614
Air temperature,2015-02-10,RBF linear,282.91212973692075,0.9114001524020294
Air temperature,2015-02-11,RBF linear,282.1971041569313,0.7927120615667037
Air temperature,2015-02-12,RBF linear,276.9838271710799,0.7635326270772491
Air temperature,2015-03-01,RBF linear,271.26948868079853,0.8702316991762999
Air temperature,2015-03-02,RBF linear,269.39838888026134,0.768339375413085
Air temperature,2015-03-03,RBF linear,271.88373150038785,0.9447349497806734
Air temperature,2015-03-04,RBF linear,280.52386643649555,0.9460866960095222
Air temperature,2015-03-05,RBF linear,287.13523393443023,0.41372681020537155
Air temperature,2015-03-06,RBF linear,288.05041688776146,0.5961868021841645
Air temperature,2015-03-07,RBF linear,289.4218249475491,0.749216975074824
Air temperature,2015-03-08,RBF linear,288.7611893604556,0.7382346974751688
Air temperature,2015-03-09,RBF linear,286.9866059871379,0.5274236305769034
Air temperature,2015-03-10,RBF linear,277.7185992330393,0.8365950177501175
Air temperature,2015-03-11,RBF linear,275.3050544133008,0.7379540740998398
Air temperature,2015-03-12,RBF linear,269.18425574562104,0.7189027792777543
Air temperature,2015-04-01,RBF linear,262.7040521610176,0.483809523031406
Air temperature,2015-04-02,RBF linear,262.97294006286165,0.6706590092066144
Air temperature,2015-04-03,RBF linear,265.0614284507112,0.8903170387733818
Air temperature,2015-04-04,RBF linear,272.5507776992408,0.9433871640777387
Air temperature,2015-04-05,RBF linear,280.0488755381249,0.6952625640916549
Air temperature,2015-04-06,RBF linear,280.9933021611003,0.8284007378427474
Air temperature,2015-04-07,RBF linear,283.99377554861553,0.6772646035147599
Air temperature,2015-04-08,RBF linear,284.17045011375666,0.8458069090611318
Air temperature,2015-04-09,RBF linear,282.4469515980223,0.7028758516461133
Air temperature,2015-04-10,RBF linear,274.99289274176414,0.8602377682914846
Air temperature,2015-04-11,RBF linear,272.7519320517954,0.7075126288638871
Air temperature,2015-04-12,RBF linear,265.8692487882771,0.7095231937026701
Air temperature,2015-05-01,RBF linear,258.37049155651835,0.607072864932199
Air temperature,2015-05-02,RBF linear,259.3165835576602,0.5138504888121354
Air temperature,2015-05-03,RBF linear,257.549487911411,0.433357818907592
Air temperature,2015-05-04,RBF linear,265.2743309384514,0.716679960067605
Air temperature,2015-05-05,RBF linear,273.0392957545939,0.883836957898493
Air temperature,2015-05-06,RBF linear,275.82727794440046,0.7815139618684989
Air temperature,2015-05-07,RBF linear,279.28167193732213,0.6757240981712823
Air temperature,2015-05-08,RBF linear,279.93229678400746,0.6470095094298244
Air temperature,2015-05-09,RBF linear,279.2524142254255,0.6613879789629634
Air temperature,2015-05-10,RBF linear,272.83343943750344,0.7576953261230761
Air temperature,2015-05-11,RBF linear,270.6417038460407,0.7859401440289724
Air temperature,2015-05-12,RBF linear,265.1937882901704,0.6789302248554796
Air temperature,2015-06-01,RBF linear,254.83980252466344,0.6577276019262097
Air temperature,2015-06-02,RBF linear,257.8044892758985,0.5391055079618028
Air temperature,2015-06-03,RBF linear,256.40057853342415,0.5257818112814521
Air temperature,2015-06-04,RBF linear,264.2159692905065,0.8081125789830876
Air temperature,2015-06-05,RBF linear,269.4634119158773,0.7883603314083647
Air temperature,2015-06-06,RBF linear,272.674513809658,0.9132396080159688
Air temperature,2015-06-07,RBF linear,274.65137294930446,0.7062055816474643
Air temperature,2015-06-08,RBF linear,274.3113988687911,0.7122210154342031
Air temperature,2015-06-09,RBF linear,273.18869074281,0.39164358073217254
Air temperature,2015-06-10,RBF linear,267.6710168093948,0.6566744882753938
Air temperature,2015-06-11,RBF linear,264.4401430277001,0.5807079228285891
Air temperature,2015-06-12,RBF linear,259.5763755073214,0.5010535891175504
Air temperature,2015-07-01,RBF linear,249.21435443200346,0.5064636008220312
Air temperature,2015-07-02,RBF linear,256.570023094641,0.6036761865061202
Air temperature,2015-07-03,RBF linear,255.41560042832927,0.5722436819405453
