variable,month,value
Air temperature,1,285.367599215625
Air temperature,2,285.1503437837776
Air temperature,3,285.2881174488079
Air temperature,4,285.1989602658859
Air temperature,5,285.1489999310625
Air temperature,6,285.11685916980906
Air temperature,7,285.07822893020415
Air temperature,8,285.06819372411707
Air temperature,9,284.9892736598609
Air temperature,10,284.95005056872094
Air temperature,11,284.92316428918286
Air temperature,12,284.9260995220008
Precipitation,1,1.8669335152185427
Precipitation,2,1.7998938325401186
Precipitation,3,1.7766919810523656
Precipitation,4,1.942269607275273
Precipitation,5,1.9033438099237636
Precipitation,6,1.8653342651311162
Precipitation,7,1.8488214015535656
Precipitation,8,1.858520663399201
Precipitation,9,1.8997275111528324
Precipitation,10,2.093802605593378
Precipitation,11,2.0680011377777965
Precipitation,12,2.026224222976537
Relative humidity,1,64.25672773535771
Relative humidity,2,64.03667329201646
Relative humidity,3,63.73203837366672
Relative humidity,4,63.726595060582675
Relative humidity,5,63.64863947158782
Relative humidity,6,63.81872005898481
Relative humidity,7,63.86666942491881
Relative humidity,8,64.22730317297717
Relative humidity,9,64.54338017880711
Relative humidity,10,64.63153240506581
Relative humidity,11,64.82010497713547
Relative humidity,12,64.41841854085509
Soil moisture 10cm,1,0.20339428088895864
Soil moisture 10cm,2,0.20288877585329795
Soil moisture 10cm,3,0.20235112725521076
Soil moisture 10cm,4,0.20200377508142428
Soil moisture 10cm,5,0.2020728673323332
Soil moisture 10cm,6,0.20213078689162134
Soil moisture 10cm,7,0.201854073183309
Soil moisture 10cm,8,0.20171842596142453
Soil moisture 10cm,9,0.20185938610274606
Soil moisture 10cm,10,0.20209943769918384
Soil moisture 10cm,11,0.20260060418632678
Soil moisture 10cm,12,0.20276745708868163
Soil temperature,1,286.26964508878905
Soil temperature,2,286.2212467570484
Soil temperature,3,286.251910857651
Soil temperature,4,286.25630856219306
Soil temperature,5,286.2568226396412
Soil temperature,6,286.22434998813094
Soil temperature,7,286.1897956479412
Soil temperature,8,286.15030518627924
Soil temperature,9,286.148137486192
Soil temperature,10,286.1701003900604
Soil temperature,11,286.10228713941007
Soil temperature,12,286.06188182206733
